id;start_date;end_date;language
1;2020-11-04T13:56:50;2020-11-04T11:47:05;SPANISH
2;2020-11-03T18:47:01;2020-11-04T13:51:26;SPANISH
3;2020-11-04T09:42:20;2020-11-03T20:16:29;FRENCH
4;2020-11-04T00:59:51;2020-11-04T12:31:17;FRENCH
5;2020-11-04T10:30:09;2020-11-04T15:17:08;FRENCH
6;2020-11-04T04:22:30;2020-11-04T16:30:44;FRENCH
7;2020-11-04T06:07:50;2020-11-03T23:58:41;FRENCH
8;2020-11-04T05:04:03;2020-11-04T15:20:11;SPANISH
9;2020-11-04T03:45:12;2020-11-04T00:26:35;SPANISH
10;2020-11-04T11:57:16;2020-11-03T22:31:46;SPANISH
